Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774893168,10000,GET,/models,155.600000,0.000000,710,880,910,1100,1300,1300,1400,1500,1500,1500,1500,4192,0,210.0,363.7949750460177,12.126493998948717,1507.4930529990525,399.0
1774893168,10000,POST,/predict,1305.000000,0.000000,800,970,1100,1100,1200,1300,1400,1500,1500,1600,1600,20898,0,570.0,606.2081743517066,2.440809999825433,1596.7485920009494,44.98023734328644
1774893168,10000,,Aggregated,1618.500000,0.000000,830,1000,1100,1200,1400,3700,6000,7400,10000,11000,11000,29380,0,530.0,763.1032059023772,2.440809999825433,10567.139263999707,93.88921034717495
1774893169,10000,GET,/health,124.500000,0.000000,5800,7000,7500,7900,10000,12000,12000,13000,13000,13000,13000,4601,0,820.0,2393.480905394907,98.84624299957068,13284.017488000245,34.0
1774893169,10000,GET,/models,123.200000,0.000000,900,1100,1300,1300,1400,1500,1600,1900,2000,2000,2000,4453,0,220.0,422.8773139591054,12.126493998948717,1998.3542949994444,399.0
1774893169,10000,POST,/predict,1350.700000,0.000000,1000,1200,1300,1400,1500,1500,1700,1800,2000,2000,2000,24776,0,680.0,727.4510070306344,2.440809999825433,2020.4328239997267,44.97751856635454
1774893169,10000,,Aggregated,1598.400000,0.000000,1100,1200,1400,1400,1600,4500,7400,9400,13000,13000,13000,33830,0,610.0,913.9463338744566,2.440809999825433,13284.017488000245,90.08406739580255
1774893170,10000,GET,/health,124.500000,0.000000,5800,7000,7500,7900,10000,12000,12000,13000,13000,13000,13000,4601,0,820.0,2393.480905394907,98.84624299957068,13284.017488000245,34.0
1774893170,10000,GET,/models,123.200000,0.000000,900,1100,1300,1300,1400,1500,1600,1900,2000,2000,2000,4453,0,220.0,422.8773139591054,12.126493998948717,1998.3542949994444,399.0
1774893170,10000,POST,/predict,1350.700000,0.000000,1100,1300,1400,1400,1500,1600,1700,1900,2000,2000,2000,24776,0,680.0,727.4510070306344,2.440809999825433,2020.4328239997267,44.97751856635454
1774893170,10000,,Aggregated,1598.400000,0.000000,1100,1300,1400,1500,1600,5500,7600,10000,13000,13000,13000,33830,0,610.0,913.9463338744566,2.440809999825433,13284.017488000245,90.08406739580255
1774893171,10000,GET,/health,124.500000,0.000000,6900,7500,8400,9400,11000,12000,13000,13000,13000,13000,13000,4601,0,820.0,2393.480905394907,98.84624299957068,13284.017488000245,34.0
1774893171,10000,GET,/models,123.200000,0.000000,1100,1300,1400,1400,1500,1500,1900,2000,2000,2000,2000,4453,0,220.0,422.8773139591054,12.126493998948717,1998.3542949994444,399.0
1774893171,10000,POST,/predict,1350.700000,0.000000,1100,1300,1400,1400,1500,1600,1700,1900,2000,2000,2000,24776,0,680.0,727.4510070306344,2.440809999825433,2020.4328239997267,44.97751856635454
1774893171,10000,,Aggregated,1598.400000,0.000000,1100,1300,1400,1500,1600,5500,7600,10000,13000,13000,13000,33830,0,610.0,913.9463338744566,2.440809999825433,13284.017488000245,90.08406739580255
1774893172,10000,GET,/health,110.800000,0.000000,7400,8000,10000,11000,14000,14000,14000,15000,15000,15000,15000,5082,0,1200.0,3111.3724310881453,98.84624299957068,15427.111911998509,34.0
1774893172,10000,GET,/models,103.800000,0.000000,1000,1300,1300,1400,1500,1600,1800,1900,2000,2000,2000,4932,0,300.0,472.52552239596315,12.126493998948717,1999.535957000262,399.0
1774893172,10000,POST,/predict,1364.800000,0.000000,1100,1300,1400,1400,1500,1600,1700,1900,2000,2000,2000,29599,0,790.0,784.4820622347386,2.440809999825433,2020.4328239997267,44.98368188114463
1774893172,10000,,Aggregated,1579.400000,0.000000,1100,1300,1400,1500,1700,6700,9400,13000,15000,15000,15000,39613,0,720.0,1044.1616421713295,2.440809999825433,15427.111911998509,87.65122560775502
1774893173,10000,GET,/health,110.800000,0.000000,7700,9400,11000,12000,14000,14000,15000,15000,15000,15000,15000,5082,0,1200.0,3111.3724310881453,98.84624299957068,15427.111911998509,34.0
1774893173,10000,GET,/models,103.800000,0.000000,1200,1300,1400,1400,1500,1600,1900,2000,2000,2000,2000,4932,0,300.0,472.52552239596315,12.126493998948717,1999.535957000262,399.0
1774893173,10000,POST,/predict,1364.800000,0.000000,1200,1400,1400,1500,1600,1700,1800,1900,2000,2000,2000,29599,0,790.0,784.4820622347386,2.440809999825433,2020.4328239997267,44.98368188114463
1774893173,10000,,Aggregated,1579.400000,0.000000,1200,1400,1500,1500,1700,7100,11000,13000,15000,15000,15000,39613,0,720.0,1044.1616421713295,2.440809999825433,15427.111911998509,87.65122560775502
